Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2021-07-16;2,100;50;44,204;93,412,670;2,150;2,150;2,100;150,938;150,938
2021-07-15;2,150;0;2,830;6,081,770;2,170;2,170;2,140;154,531;154,531
2021-07-14;2,150;0;12,880;27,701,820;2,150;2,170;2,140;154,531;154,531
2021-07-13;2,150;10;13,858;29,690,250;2,110;2,160;2,110;154,531;154,531
2021-07-12;2,140;30;24,516;52,535,180;2,140;2,160;2,130;153,812;153,812
2021-07-09;2,170;10;13,283;28,568,940;2,160;2,170;2,130;155,969;155,969
2021-07-08;2,160;0;10,565;22,847,680;2,170;2,170;2,140;155,250;155,250
2021-07-07;2,160;20;17,305;36,882,420;2,140;2,160;2,120;155,250;155,250
2021-07-06;2,140;20;8,785;18,865,210;2,170;2,170;2,140;153,812;153,812
2021-07-05;2,160;30;51,187;110,293,600;2,180;2,180;2,120;155,250;155,250
2021-07-02;2,190;10;37,278;81,342,470;2,180;2,200;2,170;157,406;157,406
2021-07-01;2,180;20;8,712;19,065,290;2,200;2,200;2,180;156,688;156,688
2021-06-30;2,200;20;16,245;35,495,260;2,200;2,200;2,170;158,125;158,125
2021-06-29;2,180;20;60,821;132,601,430;2,190;2,200;2,170;156,688;156,688
2021-06-28;2,200;20;28,840;63,336,370;2,220;2,220;2,190;158,125;158,125
2021-06-25;2,220;20;41,485;91,395,080;2,200;2,220;2,190;159,562;159,562
2021-06-24;2,200;30;29,285;64,525,760;2,220;2,230;2,200;158,125;158,125
2021-06-23;2,230;0;183,661;407,826,460;2,250;2,270;2,190;160,281;160,281
2021-06-22;2,230;130;185,424;410,445,080;2,190;2,300;2,180;160,281;160,281
2021-06-21;2,100;150;95,267;194,002,580;1,800;2,100;1,800;150,938;150,938
2021-06-17;1,950;210;219,502;435,145,270;2,150;2,150;1,950;140,156;140,156
2021-06-16;2,160;80;66,603;143,487,330;2,220;2,220;2,120;155,250;155,250
2021-06-15;2,240;20;32,213;72,240,170;2,260;2,260;2,230;161,000;161,000
2021-06-14;2,260;20;55,588;125,506,190;2,280;2,280;2,250;162,438;162,438
2021-06-11;2,280;10;79,864;181,314,350;2,280;2,280;2,260;163,875;163,875
2021-06-10;2,270;10;8,933;20,297,550;2,280;2,280;2,270;163,156;163,156
2021-06-09;2,280;0;20,556;46,712,210;2,280;2,300;2,260;163,875;163,875
2021-06-08;2,280;0;22,087;50,219,320;2,280;2,280;2,270;163,875;163,875
2021-06-07;2,280;0;41,630;94,284,610;2,280;2,290;2,250;163,875;163,875
2021-06-04;2,280;10;11,934;27,069,790;2,280;2,280;2,260;163,875;163,875
2021-06-03;2,270;0;10,899;24,816,360;2,280;2,300;2,260;163,156;163,156
2021-06-02;2,270;20;4,489;10,208,010;2,260;2,280;2,260;163,156;163,156
2021-06-01;2,250;30;61,672;139,594,660;2,280;2,290;2,250;161,719;161,719
2021-05-31;2,280;20;23,636;53,970,580;2,300;2,300;2,270;163,875;163,875
2021-05-28;2,300;20;103,150;237,249,360;2,320;2,340;2,280;165,312;165,312
2021-05-27;2,320;40;75,790;176,022,480;2,370;2,370;2,300;166,750;166,750
2021-05-26;2,360;30;24,385;57,452,740;2,350;2,380;2,340;169,625;169,625
2021-05-25;2,330;90;104,875;246,891,410;2,390;2,400;2,200;167,469;167,469
2021-05-24;2,420;30;168,986;407,951,570;2,410;2,470;2,390;173,938;173,938
2021-05-21;2,390;100;89,098;211,144,620;2,350;2,420;2,310;171,781;171,781
2021-05-20;2,290;50;74,341;168,297,780;2,240;2,300;2,230;164,594;164,594
2021-05-19;2,240;10;54,732;122,077,440;2,230;2,240;2,220;161,000;161,000
2021-05-18;2,230;0;75,310;166,578,770;2,200;2,240;2,190;160,281;160,281
2021-05-17;2,230;50;51,733;114,212,220;2,180;2,230;2,180;160,281;160,281
2021-05-13;2,180;20;64,440;140,282,640;2,160;2,190;2,150;156,688;156,688
2021-05-12;2,160;20;68,043;147,061,240;2,200;2,210;2,130;155,250;155,250
2021-05-11;2,180;120;234,432;509,379,650;2,120;2,240;2,110;156,688;156,688
2021-05-10;2,060;90;117,756;236,848,590;2,000;2,060;1,980;148,062;148,062
2021-05-07;1,970;40;64,091;125,901,980;1,950;2,000;1,930;141,594;141,594
2021-05-06;1,930;10;44,703;85,802,630;1,920;1,930;1,910;138,719;138,719
2021-05-05;1,920;10;58,628;112,543,360;1,930;1,930;1,910;138,000;138,000
2021-05-04;1,910;10;69,177;131,137,240;1,890;1,920;1,880;137,281;137,281
2021-05-03;1,900;10;13,515;25,467,820;1,880;1,900;1,880;136,562;136,562
2021-04-29;1,890;0;13,012;24,479,140;1,890;1,900;1,880;135,844;135,844
2021-04-28;1,890;10;18,697;35,135,610;1,880;1,890;1,870;135,844;135,844
2021-04-27;1,880;0;18,515;34,686,580;1,880;1,890;1,860;135,125;135,125
2021-04-23;1,880;10;40,975;76,815,660;1,880;1,890;1,860;135,125;135,125
2021-04-22;1,870;10;9,956;18,625,550;1,880;1,880;1,860;134,406;134,406
2021-04-21;1,860;10;15,565;29,171,070;1,880;1,880;1,860;133,688;133,688
2021-04-20;1,870;10;22,959;42,637,080;1,860;1,870;1,840;134,406;134,406
2021-04-19;1,860;40;60,696;113,428,130;1,900;1,900;1,860;133,688;133,688
2021-04-13;1,900;10;8,460;15,983,670;1,900;1,900;1,870;136,562;136,562
2021-04-12;1,890;0;9,252;17,439,410;1,880;1,900;1,880;135,844;135,844
2021-04-09;1,890;0;14,190;26,880,160;1,870;1,910;1,870;135,844;135,844
2021-04-08;1,890;10;5,193;9,801,650;1,880;1,900;1,880;135,844;135,844
2021-04-07;1,880;20;23,898;44,959,420;1,890;1,900;1,880;135,125;135,125
2021-04-06;1,900;10;14,912;28,271,480;1,910;1,910;1,890;136,562;136,562
2021-04-05;1,910;10;24,271;46,065,390;1,920;1,920;1,880;137,281;137,281
2021-04-02;1,920;0;6,296;12,057,100;1,920;1,920;1,910;138,000;138,000
2021-04-01;1,920;10;48,447;92,348,870;1,920;1,930;1,890;138,000;138,000
2021-03-31;1,930;10;47,760;91,724,240;1,920;1,930;1,910;138,719;138,719
2021-03-30;1,920;20;63,768;121,440,900;1,890;1,920;1,880;138,000;138,000
2021-03-29;1,900;40;69,070;130,743,350;1,860;1,920;1,860;136,562;136,562
2021-03-26;1,860;0;43,997;81,740,250;1,860;1,870;1,850;133,688;133,688
2021-03-25;1,860;20;178,909;326,879,050;1,830;1,890;1,780;133,688;133,688
2021-03-24;1,840;60;212,959;389,590,300;1,900;1,900;1,790;132,250;132,250
2021-03-23;1,900;50;199,175;381,642,120;1,940;1,950;1,880;136,562;136,562
2021-03-22;1,950;170;145,845;278,086,920;1,830;1,950;1,810;140,156;140,156
2021-03-19;1,780;30;66,767;117,991,950;1,760;1,780;1,750;127,938;127,938
2021-03-18;1,750;30;99,870;174,356,460;1,730;1,770;1,730;125,781;125,781
2021-03-17;1,720;70;142,201;240,341,310;1,640;1,740;1,640;123,625;123,625
2021-03-16;1,650;10;20,410;33,578,790;1,640;1,660;1,630;118,594;118,594
2021-03-15;1,640;30;35,755;58,540,710;1,620;1,660;1,610;117,875;117,875
2021-03-12;1,610;20;9,631;15,406,430;1,590;1,610;1,590;115,719;115,719
2021-03-11;1,590;10;5,060;8,065,310;1,590;1,610;1,590;114,281;114,281
2021-03-10;1,600;10;11,417;18,306,000;1,600;1,610;1,590;115,000;115,000
2021-03-09;1,610;10;8,416;13,415,660;1,590;1,610;1,590;115,719;115,719
2021-03-05;1,600;10;7,845;12,512,350;1,590;1,610;1,580;115,000;115,000
2021-03-04;1,590;0;8,654;13,759,880;1,590;1,600;1,580;114,281;114,281
