Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2022-07-20;3,130;10;66;206,140;3,090;3,130;3,090;234,578;234,578
2022-07-19;3,140;30;50;157,400;3,150;3,150;3,140;235,327;235,327
2022-07-18;3,110;50;537;1,662,720;3,140;3,150;3,080;233,079;233,079
2022-07-15;3,160;10;875;2,705,990;3,080;3,160;3,080;236,826;236,826
2022-07-14;3,170;10;129;408,920;3,180;3,180;3,160;237,576;237,576
2022-07-13;3,180;40;243;759,880;3,190;3,210;3,110;238,325;238,325
2022-07-12;3,220;20;23;73,370;3,220;3,220;3,110;241,323;241,323
2022-07-11;3,240;60;103;330,710;3,250;3,250;3,200;242,822;242,822
2022-07-08;3,180;10;16;51,480;3,230;3,230;3,180;238,325;238,325
2022-07-07;3,170;40;63;199,390;3,160;3,210;3,160;237,576;237,576
2022-07-06;3,210;10;12;38,450;3,140;3,210;3,140;240,573;240,573
2022-07-05;3,200;0;106;338,200;3,150;3,200;3,150;239,824;239,824
2022-07-04;3,200;0;21;67,200;3,200;3,200;3,200;239,824;239,824
2022-07-01;3,200;0;74;236,800;3,200;3,200;3,200;239,824;239,824
2022-06-30;3,200;20;180;577,020;3,230;3,230;3,200;239,824;239,824
2022-06-29;3,220;10;13;41,850;3,230;3,230;3,190;241,323;241,323
2022-06-28;3,230;10;19;60,720;3,240;3,240;3,130;242,072;242,072
2022-06-27;3,220;0;11;35,340;3,140;3,220;3,140;241,323;241,323
2022-06-24;3,220;10;295;942,950;3,160;3,220;3,160;241,323;241,323
2022-06-23;3,230;110;1;3,230;3,230;3,230;3,230;242,072;242,072
2022-06-22;3,120;60;217;673,110;3,100;3,180;3,090;233,828;233,828
2022-06-21;3,180;50;516;1,649,020;3,220;3,220;3,180;238,325;238,325
2022-06-20;3,230;10;272;858,400;3,240;3,240;3,150;242,072;242,072
2022-06-17;3,240;10;3;9,590;3,240;3,240;3,110;242,822;242,822
