Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2023-06-14;2,270;10;14,834;33,287,780;2,250;2,280;2,200;14,668;41,908
2023-06-13;2,260;20;4,202;9,564,000;2,280;2,300;2,260;14,603;41,723
2023-06-12;2,280;20;493;1,124,450;2,300;2,300;2,280;14,732;42,092
2023-06-09;2,300;10;1,078;2,459,960;2,290;2,300;2,280;14,862;42,462
2023-06-08;2,290;0;3,656;8,327,440;2,300;2,300;2,260;14,797;42,277
2023-06-07;2,290;10;2,633;6,020,010;2,300;2,300;2,270;14,797;42,277
2023-06-06;2,300;20;17,034;39,049,600;2,320;2,320;2,290;14,862;42,462
2023-06-05;2,320;10;1,925;4,457,920;2,310;2,320;2,290;14,991;42,831
2023-06-02;2,310;10;11,430;26,311,610;2,300;2,330;2,290;14,926;42,646
2023-06-01;2,320;0;3,310;7,664,810;2,340;2,340;2,310;14,991;42,831
2023-05-31;2,320;30;645;1,509,220;2,350;2,350;2,320;14,991;42,831
2023-05-30;2,350;10;2,784;6,514,300;2,340;2,350;2,330;15,185;43,385
2023-05-29;2,340;20;4,166;9,715,070;2,330;2,340;2,320;15,120;43,200
2023-05-26;2,320;30;4,147;9,636,240;2,340;2,340;2,320;14,991;42,831
2023-05-25;2,350;20;3,361;7,860,740;2,340;2,350;2,320;15,185;43,385
2023-05-24;2,330;0;574;1,340,850;2,340;2,340;2,330;15,055;43,015
2023-05-23;2,330;10;12,480;28,971,920;2,340;2,340;2,310;15,055;43,015
2023-05-22;2,340;10;15,991;37,505,950;2,360;2,360;2,330;15,120;43,200
2023-05-19;2,350;20;8,322;19,496,870;2,310;2,350;2,310;15,185;43,385
2023-05-18;2,330;0;394;914,910;2,330;2,330;2,320;15,055;43,015
2023-05-17;2,330;0;1,465;3,389,940;2,350;2,350;2,310;15,055;43,015
2023-05-16;2,330;0;384;892,390;2,340;2,340;2,310;15,055;43,015
2023-05-15;2,330;10;1,176;2,729,080;2,310;2,340;2,310;15,055;43,015
2023-05-12;2,340;0;880;2,055,100;2,340;2,340;2,330;15,120;43,200
2023-05-11;2,340;0;543;1,257,660;2,340;2,340;2,300;15,120;43,200
2023-05-10;2,340;0;693;1,609,410;2,300;2,340;2,300;15,120;43,200
2023-05-09;2,340;20;1,366;3,156,910;2,310;2,350;2,290;15,120;43,200
2023-05-05;2,320;10;10,327;23,905,040;2,330;2,350;2,300;14,991;42,831
2023-05-03;2,330;20;4,217;9,851,500;2,340;2,350;2,330;15,055;43,015
2023-05-02;2,350;10;6,268;14,629,130;2,350;2,350;2,320;15,185;43,385
2023-04-28;2,360;0;312;734,460;2,360;2,360;2,350;15,249;43,569
2023-04-27;2,360;10;2,167;5,069,880;2,360;2,360;2,330;15,249;43,569
2023-04-26;2,370;0;165;389,490;2,370;2,370;2,350;15,314;43,754
2023-04-25;2,370;0;1,809;4,270,520;2,360;2,370;2,350;15,314;43,754
2023-04-24;2,370;0;2,441;5,740,600;2,370;2,370;2,350;15,314;43,754
2023-04-21;2,370;0;1,232;2,905,840;2,370;2,370;2,350;15,314;43,754
2023-04-20;2,370;0;548;1,292,890;2,360;2,370;2,350;15,314;43,754
2023-04-19;2,370;20;10,844;25,442,430;2,350;2,370;2,320;15,314;43,754
2023-04-18;2,350;0;1,478;3,469,750;2,350;2,350;2,340;15,185;43,385
2023-04-17;2,350;0;2,352;5,523,200;2,350;2,350;2,340;15,185;43,385
2023-04-13;2,350;0;13,314;30,975,930;2,330;2,370;2,300;15,185;43,385
2023-04-12;2,350;20;7,790;18,162,140;2,350;2,370;2,300;15,185;43,385
2023-04-11;2,370;10;1,472;3,470,980;2,360;2,370;2,350;15,314;43,754
2023-04-10;2,360;0;1,920;4,525,310;2,360;2,360;2,350;15,249;43,569
2023-04-07;2,360;0;6,764;15,965,310;2,370;2,380;2,350;15,249;43,569
2023-04-06;2,360;10;4,753;11,180,400;2,360;2,370;2,350;15,249;43,569
2023-04-05;2,370;0;776;1,836,100;2,360;2,370;2,360;15,314;43,754
2023-04-04;2,370;0;1,046;2,468,760;2,370;2,370;2,360;15,314;43,754
2023-04-03;2,370;20;723;1,702,070;2,370;2,370;2,330;15,314;43,754
