Date;AAA;AA;A;BBB;BB;B;CCC
2024-09-02;0.38;0.55;0.81;1.19;1.82;3.0;9.47
2024-08-31;0.38;0.55;0.81;1.19;1.82;3.0;9.47
2024-08-30;0.37;0.53;0.81;1.18;1.82;2.86;9.37
2024-08-29;0.38;0.53;0.81;1.19;1.83;2.89;9.37
2024-08-28;0.38;0.54;0.82;1.19;1.88;2.92;9.44
2024-08-27;0.37;0.54;0.81;1.19;1.86;2.91;9.43
2024-08-26;0.38;0.54;0.81;1.19;1.84;2.88;9.39
2024-08-23;0.38;0.54;0.82;1.2;1.88;2.92;9.45
2024-08-22;0.39;0.55;0.83;1.21;1.88;2.95;9.52
2024-08-21;0.4;0.56;0.84;1.22;1.94;3.0;9.61
2024-08-20;0.4;0.56;0.84;1.22;1.92;2.99;9.59
2024-08-19;0.4;0.55;0.83;1.21;1.88;2.93;9.52
2024-08-16;0.4;0.56;0.83;1.21;1.95;3.04;9.63
2024-08-15;0.4;0.57;0.84;1.22;1.96;3.07;9.66
2024-08-14;0.44;0.6;0.88;1.26;2.11;3.27;9.69
2024-08-13;0.45;0.61;0.89;1.28;2.18;3.33;9.84
2024-08-12;0.46;0.62;0.9;1.29;2.17;3.32;9.8
2024-08-09;0.45;0.62;0.9;1.28;2.12;3.29;9.83
2024-08-08;0.46;0.62;0.9;1.29;2.1;3.31;9.83
2024-08-07;0.47;0.64;0.92;1.31;2.18;3.39;9.96
2024-08-06;nan;nan;nan;nan;nan;nan;nan
2024-08-05;0.53;0.68;0.97;1.37;2.49;3.76;10.55
2024-08-02;0.47;0.63;0.91;1.3;2.35;3.53;10.1
2024-08-01;0.43;0.58;0.85;1.23;2.03;3.13;9.53
2024-07-31;0.4;0.56;0.83;1.2;1.94;3.01;9.42
2024-07-30;0.41;0.55;0.82;1.18;1.89;3.0;9.19
2024-07-29;0.4;0.55;0.81;1.17;1.81;2.91;9.22
2024-07-26;0.39;0.55;0.81;1.17;1.77;2.89;9.29
2024-07-25;0.4;0.55;0.81;1.17;1.76;2.84;9.31
2024-07-24;0.4;0.56;0.83;1.18;1.77;2.87;9.34
2024-07-23;0.39;0.53;0.79;1.15;1.7;2.78;9.26
