Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2022-10-04;10,280;0;70,416;722,968,200;10,260;10,280;10,240;4,452,916;4,452,916
2022-10-03;10,280;20;53,317;547,406,180;10,280;10,280;10,240;4,452,916;4,452,916
2022-09-30;10,300;0;60,780;625,579,920;10,280;10,300;10,260;4,461,579;4,461,579
2022-09-29;10,300;0;83,034;854,291,360;10,280;10,300;10,260;4,461,579;4,461,579
2022-09-28;10,300;0;88,149;906,555,360;10,300;10,300;10,240;4,461,579;4,461,579
2022-09-27;10,300;0;59,503;611,712,180;10,280;10,300;10,240;4,461,579;4,461,579
2022-09-23;10,300;20;47,497;488,149,620;10,260;10,300;10,260;4,461,579;4,461,579
2022-09-22;10,280;20;57,172;587,185,400;10,260;10,280;10,240;4,452,916;4,452,916
2022-09-21;10,260;0;37,821;387,350,400;10,240;10,260;10,240;4,444,253;4,444,253
2022-09-20;10,260;20;17,683;181,252,940;10,240;10,260;10,240;4,444,253;4,444,253
2022-09-19;10,280;0;54,460;558,575,480;10,240;10,280;10,220;4,452,916;4,452,916
2022-09-16;10,280;0;51,311;526,730,760;10,240;10,280;10,240;4,452,916;4,452,916
2022-09-15;10,280;0;36,191;371,378,880;10,260;10,280;10,220;4,452,916;4,452,916
2022-09-14;10,280;0;44,872;460,644,080;10,260;10,280;10,220;4,452,916;4,452,916
2022-09-13;10,280;0;48,823;501,104,600;10,260;10,280;10,240;4,452,916;4,452,916
2022-09-12;10,280;0;50,186;515,148,140;10,280;10,280;10,220;4,452,916;4,452,916
2022-09-09;10,280;0;16,077;165,043,360;10,280;10,280;10,260;4,452,916;4,452,916
2022-09-08;10,280;0;10,875;111,612,560;10,280;10,280;10,240;4,452,916;4,452,916
2022-09-07;10,280;20;59,143;607,004,680;10,220;10,280;10,220;4,452,916;4,452,916
2022-09-06;10,300;0;72,432;744,466,220;10,220;10,300;10,200;4,461,579;4,461,579
2022-09-05;10,300;0;34,538;354,998,840;10,300;10,300;10,240;4,461,579;4,461,579
2022-09-02;10,300;40;64,903;667,609,780;10,260;10,320;10,240;4,461,579;4,461,579
2022-09-01;10,260;20;121,352;1,240,429,120;10,260;10,260;10,180;4,444,253;4,444,253
2022-08-31;10,280;20;88,294;906,061,920;10,280;10,280;10,220;4,452,916;4,452,916
2022-08-30;10,300;0;38,740;398,671,040;10,280;10,300;10,280;4,461,579;4,461,579
2022-08-29;10,300;80;109,042;1,121,644,560;10,300;10,380;9,360;4,461,579;4,461,579
2022-08-26;10,380;0;49,702;514,867,500;10,360;10,380;10,340;4,496,232;4,496,232
2022-08-25;10,380;0;42,531;440,681,260;10,360;10,380;10,340;4,496,232;4,496,232
2022-08-24;10,380;20;41,645;431,865,580;10,360;10,400;10,360;4,496,232;4,496,232
2022-08-23;10,400;20;54,079;561,706,140;10,400;10,400;10,380;4,504,895;4,504,895
2022-08-22;10,420;0;69,714;725,296,040;10,380;10,420;10,380;4,513,559;4,513,559
2022-08-19;10,420;0;79,551;827,288,900;10,420;10,420;10,380;4,513,559;4,513,559
2022-08-18;10,420;0;45,162;469,382,720;10,400;10,420;10,380;4,513,559;4,513,559
2022-08-17;10,420;0;56,101;583,622,120;10,400;10,420;10,380;4,513,559;4,513,559
2022-08-16;10,420;40;102,607;1,067,998,560;10,380;10,440;10,360;4,513,559;4,513,559
2022-08-15;10,380;0;52,286;541,957,820;10,360;10,380;10,340;4,496,232;4,496,232
2022-08-12;10,380;0;51,296;531,739,720;10,380;10,380;10,340;4,496,232;4,496,232
2022-08-11;10,380;0;70,940;734,988,200;10,380;10,380;10,340;4,496,232;4,496,232
