Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2023-08-03;3,480;30;635;2,195,100;3,450;3,480;3,450;89,471;89,471
2023-08-02;3,450;0;501;1,728,450;3,450;3,450;3,450;88,700;88,700
2023-08-01;3,450;40;104;358,760;3,480;3,480;3,360;88,700;88,700
2023-07-31;3,490;50;3;10,470;3,490;3,490;3,490;89,728;89,728
2023-07-28;3,440;20;186;644,360;3,510;3,510;3,430;88,442;88,442
2023-07-27;3,420;30;624;2,157,470;3,470;3,480;3,400;87,928;87,928
2023-07-26;3,390;60;81;273,000;3,240;3,400;3,240;87,157;87,157
2023-07-25;3,330;40;1,204;4,016,470;3,370;3,390;3,330;85,614;85,614
2023-07-21;3,370;70;261;866,650;3,300;3,370;3,300;86,643;86,643
2023-07-20;3,300;20;127;418,960;3,280;3,330;3,280;84,843;84,843
2023-07-19;3,280;140;3,481;11,305,580;3,420;3,520;3,200;84,329;84,329
2023-07-18;3,420;130;4;13,680;3,420;3,420;3,420;87,928;87,928
2023-07-17;3,550;110;630;2,220,470;3,630;3,630;3,500;91,270;91,270
2023-07-14;3,660;130;800;2,721,920;3,510;3,660;3,310;94,099;94,099
2023-07-13;3,530;70;376;1,300,710;3,550;3,560;3,300;90,756;90,756
2023-07-12;3,600;60;259;933,830;3,980;3,980;3,470;92,556;92,556
2023-07-11;3,660;290;2,514;8,733,360;3,370;3,660;3,100;94,099;94,099
2023-07-10;3,370;300;4,891;16,578,930;3,610;3,630;3,350;86,643;86,643
2023-07-07;3,670;20;2,925;10,661,840;3,770;3,770;3,610;94,356;94,356
2023-07-06;3,690;110;1,774;6,612,770;3,820;3,820;3,690;94,870;94,870
2023-07-05;3,800;10;64;242,980;3,780;3,810;3,780;97,698;97,698
2023-07-04;3,790;40;488;1,839,690;3,830;3,830;3,750;97,441;97,441
2023-07-03;3,830;0;929;3,506,930;3,890;3,890;3,700;98,469;98,469
2023-06-30;3,830;0;156;595,370;3,890;3,890;3,730;98,469;98,469
2023-06-29;3,830;30;48;183,790;3,850;3,880;3,800;98,469;98,469
2023-06-28;3,800;90;581;2,208,810;3,800;3,870;3,800;97,698;97,698
2023-06-27;3,890;50;2,053;7,897,510;3,870;3,930;3,820;100,012;100,012
2023-06-26;3,940;10;113;444,460;3,930;3,940;3,880;101,297;101,297
2023-06-23;3,930;20;74;290,940;3,940;3,940;3,900;101,040;101,040
2023-06-22;3,950;10;172;677,920;3,930;3,950;3,900;101,554;101,554
2023-06-21;3,940;20;318;1,255,810;3,940;3,950;3,880;101,297;101,297
2023-06-20;3,960;20;1,301;5,037,580;3,960;3,960;3,850;101,812;101,812
2023-06-19;3,940;10;583;2,262,990;3,960;3,960;3,870;101,297;101,297
2023-06-16;3,930;20;1,199;4,662,280;3,940;3,940;3,870;101,040;101,040
2023-06-15;3,910;70;999;3,935,520;3,980;3,990;3,910;100,526;100,526
2023-06-14;3,980;80;1,127;4,419,440;4,040;4,040;3,810;102,326;102,326
2023-06-13;4,060;40;428;1,733,360;4,060;4,100;4,000;104,383;104,383
2023-06-12;4,100;20;43;176,820;4,080;4,120;4,080;105,411;105,411
2023-06-09;4,080;20;78;317,960;4,020;4,180;4,020;104,897;104,897
2023-06-08;4,060;40;372;1,494,080;4,120;4,120;4,000;104,383;104,383
2023-06-07;4,020;0;135;543,020;4,200;4,200;4,020;103,354;103,354
2023-06-06;4,020;160;46;186,200;4,160;4,160;4,020;103,354;103,354
2023-06-05;4,180;40;189;775,880;4,180;4,180;4,060;107,468;107,468
2023-06-02;4,140;20;294;1,207,840;4,120;4,180;4,060;106,439;106,439
2023-06-01;4,120;0;91;375,740;4,120;4,140;4,100;105,925;105,925
2023-05-31;4,120;20;146;598,620;4,100;4,120;4,100;105,925;105,925
2023-05-30;4,100;40;218;891,700;4,120;4,120;4,040;105,411;105,411
2023-05-29;4,140;80;496;2,022,460;4,100;4,180;4,000;106,439;106,439
2023-05-26;4,220;0;86;357,540;4,320;4,320;4,140;108,496;108,496
2023-05-25;4,220;60;91;385,300;4,300;4,300;4,140;108,496;108,496
2023-05-24;4,160;260;619;2,562,980;4,360;4,400;4,040;106,954;106,954
2023-05-23;4,420;360;1,970;7,990,300;4,060;4,420;4,000;113,638;113,638
2023-05-22;4,060;80;586;2,373,380;4,100;4,100;4,000;104,383;104,383
2023-05-19;4,140;40;31;128,760;4,200;4,200;4,100;106,439;106,439
2023-05-18;4,100;60;1,767;7,147,180;4,100;4,180;3,980;105,411;105,411
2023-05-17;4,160;40;182;756,520;4,280;4,280;4,120;106,954;106,954
2023-05-16;4,120;260;1,179;4,967,200;4,380;4,380;4,120;105,925;105,925
2023-05-15;4,380;20;32;140,140;4,360;4,380;4,360;112,610;112,610
2023-05-12;4,360;20;277;1,209,560;4,380;4,400;4,360;112,096;112,096
2023-05-11;4,380;0;55;240,380;4,380;4,380;4,360;112,610;112,610
2023-05-10;4,380;20;189;828,720;4,400;4,400;4,320;112,610;112,610
2023-05-09;4,400;40;307;1,332,600;4,480;4,480;4,300;113,124;113,124
2023-05-05;4,440;20;212;948,640;4,340;4,500;4,340;114,152;114,152
2023-05-03;4,460;0;787;3,510,020;4,460;4,460;4,460;114,667;114,667
2023-05-02;4,460;0;21;93,660;4,460;4,460;4,460;114,667;114,667
2023-04-28;4,460;20;123;550,840;4,480;4,500;4,440;114,667;114,667
2023-04-27;4,480;20;183;820,020;4,500;4,500;4,480;115,181;115,181
2023-04-26;4,500;40;1,662;7,387,780;4,500;4,500;4,420;115,695;115,695
2023-04-25;4,540;20;77;349,880;4,560;4,580;4,500;116,723;116,723
2023-04-24;4,560;20;82;375,900;4,600;4,600;4,560;117,238;117,238
2023-04-21;4,580;0;37;169,140;4,580;4,580;4,480;117,752;117,752
2023-04-20;4,580;0;680;3,086,440;4,580;4,620;4,500;117,752;117,752
2023-04-19;4,580;0;100;457,600;4,580;4,580;4,560;117,752;117,752
2023-04-18;4,580;20;38;174,040;4,580;4,580;4,580;117,752;117,752
2023-04-17;4,600;20;29;132,960;4,580;4,600;4,580;118,266;118,266
2023-04-13;4,580;0;32;146,560;4,580;4,580;4,580;117,752;117,752
2023-04-12;4,580;20;253;1,141,740;4,600;4,600;4,500;117,752;117,752
2023-04-11;4,600;60;3,143;14,709,380;4,460;4,980;4,460;118,266;118,266
2023-04-10;4,540;20;66;299,460;4,580;4,580;4,460;116,723;116,723
2023-04-07;4,560;20;27;123,360;4,800;4,800;4,560;117,238;117,238
2023-04-06;4,540;20;72;328,000;4,560;4,560;4,540;116,723;116,723
2023-04-05;4,560;20;17;77,540;4,580;4,580;4,560;117,238;117,238
2023-04-04;4,540;20;634;2,856,720;4,560;4,580;4,500;116,723;116,723
2023-04-03;4,560;0;48,596;200,735,880;4,560;4,560;4,560;117,238;117,238
2023-03-31;4,560;0;131;596,900;4,980;4,980;4,500;117,238;117,238
2023-03-30;4,560;20;65;296,200;4,580;4,580;4,540;117,238;117,238
2023-03-29;4,580;20;109;499,980;4,600;4,600;4,580;117,752;117,752
2023-03-28;4,560;0;73;333,060;4,560;4,580;4,560;117,238;117,238
2023-03-27;4,560;20;151,051;619,332,420;4,540;4,560;4,520;117,238;117,238
2023-03-24;4,540;20;136;617,240;4,560;4,560;4,500;116,723;116,723
2023-03-23;4,560;20;94;426,860;4,400;4,560;4,400;117,238;117,238
2023-03-22;4,580;40;49,384;202,601,500;4,520;4,580;4,520;117,752;117,752
2023-03-21;4,540;40;77;350,120;4,560;4,560;4,540;116,723;116,723
2023-03-20;4,580;20;366;1,657,620;4,540;4,640;4,520;117,752;117,752
2023-03-17;4,600;60;833;3,786,280;4,660;4,660;4,500;118,266;118,266
2023-03-16;4,660;0;1,455;6,566,280;4,660;4,660;4,500;119,809;119,809
2023-03-15;4,660;0;53;245,960;4,660;4,660;4,540;119,809;119,809
2023-03-14;4,660;40;1,533;7,144,980;4,660;4,680;4,600;119,809;119,809
2023-03-13;4,620;40;184;856,600;4,660;4,680;4,620;118,780;118,780
2023-03-10;4,660;40;1,976;9,170,080;4,700;4,700;4,600;119,809;119,809
2023-03-09;4,700;0;117;549,900;4,700;4,700;4,700;120,837;120,837
2023-03-07;4,700;20;99;465,460;4,720;4,720;4,700;120,837;120,837
2023-03-06;4,720;20;94;443,820;4,740;4,740;4,700;121,351;121,351
2023-03-03;4,700;0;239;1,125,720;4,720;4,720;4,700;120,837;120,837
2023-03-02;4,700;0;156;738,660;4,760;4,760;4,700;120,837;120,837
2023-03-01;4,700;20;1,772;8,293,020;4,760;4,760;4,660;120,837;120,837
