Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2022-04-18;13,980;20;1,519;21,025,780;13,820;14,000;13,820;1,199,092;6,295,234
2022-04-13;14,000;0;391;5,492,340;14,000;14,200;13,980;1,200,808;6,304,240
2022-04-12;14,000;0;364;5,080,400;14,000;14,040;13,820;1,200,808;6,304,240
2022-04-11;14,000;40;595;8,307,960;13,920;14,080;13,900;1,200,808;6,304,240
2022-04-08;13,960;20;3,511;48,493,780;14,000;14,160;13,520;1,197,377;6,286,227
2022-04-07;13,980;140;2,658;36,735,920;13,800;13,980;13,520;1,199,092;6,295,234
2022-04-06;13,840;140;1,053;14,485,100;13,700;13,880;13,700;1,187,084;6,232,191
2022-04-05;13,980;120;2,154;30,111,500;13,960;14,100;13,900;1,199,092;6,295,234
2022-04-04;14,100;100;325;4,550,740;14,780;14,780;13,900;1,209,385;6,349,270
2022-04-01;14,000;160;472;6,659,620;14,200;14,200;13,940;1,200,808;6,304,240
2022-03-31;14,160;0;3,399;48,056,100;13,920;14,160;13,920;1,214,531;6,376,288
2022-03-30;14,160;40;217;3,076,580;14,200;14,200;14,100;1,214,531;6,376,288
2022-03-29;14,200;0;10,250;145,528,700;14,100;14,200;14,100;1,217,962;6,394,300
2022-03-28;14,200;0;1,026;14,560,940;14,200;14,200;14,180;1,217,962;6,394,300
2022-03-25;14,200;100;1,353;19,285,920;14,340;14,340;14,080;1,217,962;6,394,300
2022-03-24;14,300;180;2,024;28,852,380;14,380;14,460;14,100;1,226,539;6,439,330
2022-03-23;14,120;20;1,799;25,314,940;14,040;14,160;13,960;1,211,100;6,358,276
2022-03-22;14,100;100;1,653;23,208,880;14,340;14,340;13,900;1,209,385;6,349,270
2022-03-21;14,000;40;5,952;83,130,600;14,500;14,500;13,880;1,200,808;6,304,240
2022-03-18;13,960;20;489;6,827,680;13,980;13,980;13,920;1,197,377;6,286,227
2022-03-17;13,980;0;569;7,964,700;14,440;14,440;13,980;1,199,092;6,295,234
2022-03-16;13,980;0;1,676;23,388,020;13,980;14,000;13,880;1,199,092;6,295,234
2022-03-15;13,980;20;3,602;50,375,180;13,980;14,000;13,860;1,199,092;6,295,234
2022-03-14;13,960;0;470;6,541,540;13,980;13,980;13,900;1,197,377;6,286,227
2022-03-11;13,960;0;626;8,738,960;13,960;13,960;13,960;1,197,377;6,286,227
2022-03-10;13,960;20;742;10,370,860;13,980;13,980;13,800;1,197,377;6,286,227
2022-03-09;13,980;0;748;10,347,760;13,980;13,980;13,800;1,199,092;6,295,234
2022-03-07;13,980;0;1,776;24,777,600;13,980;14,000;13,860;1,199,092;6,295,234
2022-03-04;13,980;40;1,767;24,692,000;14,000;14,000;13,940;1,199,092;6,295,234
2022-03-03;13,940;100;275;3,808,860;13,840;13,980;13,820;1,195,661;6,277,221
2022-03-02;13,840;80;771;10,593,600;13,620;14,060;13,620;1,187,084;6,232,191
2022-03-01;13,760;20;1,498;20,552,200;13,740;13,760;13,600;1,180,222;6,196,167
2022-02-28;13,740;140;3,969;54,954,540;13,940;13,940;13,740;1,178,507;6,187,161
2022-02-25;13,880;120;7,320;100,865,940;13,900;13,980;13,600;1,190,515;6,250,203
2022-02-24;14,000;100;5,344;74,814,800;14,400;14,400;13,800;1,200,808;6,304,240
2022-02-23;14,100;220;5,598;78,683,740;13,900;14,320;13,880;1,209,385;6,349,270
2022-02-22;13,880;180;1,416;19,627,720;13,880;13,880;13,800;1,190,515;6,250,203
2022-02-21;13,700;80;2,167;29,785,560;13,800;13,800;13,620;1,175,076;6,169,149
2022-02-18;13,620;100;3,281;44,533,300;13,580;13,620;13,500;1,168,214;6,133,125
2022-02-17;13,520;20;2,737;36,898,040;13,500;13,600;13,440;1,159,637;6,088,094
2022-02-16;13,500;40;3,651;49,091,240;13,460;13,500;13,400;1,157,922;6,079,088
2022-02-15;13,460;60;937;12,561,800;13,400;13,480;13,400;1,154,491;6,061,076
2022-02-14;13,400;80;3,143;42,152,120;13,440;13,480;13,380;1,149,344;6,034,058
2022-02-11;13,480;40;3,882;52,315,200;13,440;13,600;13,400;1,156,206;6,070,082
2022-02-10;13,440;60;1,053;14,175,760;13,500;13,500;13,400;1,152,775;6,052,070
2022-02-09;13,500;100;4,632;62,701,580;13,680;13,680;13,460;1,157,922;6,079,088
2022-02-08;13,400;120;3,482;46,427,920;13,280;13,500;13,280;1,149,344;6,034,058
2022-02-07;13,280;40;745;9,835,820;13,360;13,360;13,020;1,139,052;5,980,022
2022-02-04;13,320;0;158;2,104,560;13,320;13,320;13,320;1,142,483;5,998,034
2022-02-03;13,320;0;384;5,114,880;13,320;13,320;13,320;1,142,483;5,998,034
2022-02-02;13,320;20;205;2,733,000;13,360;13,360;13,320;1,142,483;5,998,034
